ID,Do you like cats?,Do you like dogs?,"If you were stranded on a desert island, what is the one item you want to have with you?","If you were to create a slogan for your life, what would the slogan be? (Examples: ""Eat, drink, and be merry, for tomorrow, we all die."" ""Bite off more than you can chew."" ""There are far better things ahead than any we leave behind."")",What is your favorite day of the week?,"Are you a lark, an owl, or a hummingbird?",What is your favorite food?,What is your favorite drink?,What is your favorite season?,What is your favorite Month?,What is one hobby that you enjoy?,What is your degree program?,What is your primary specialization?,What is your primary statistical software?,"What is your level of R experience (1=None, 5=Advanced)?",How comfortable are you with coding?,How long have you been coding (in years or months)?,What are three things you hope to learn in this course?,"What is your major public health area of interest (e.g. cancer, heart disease, maternal child health, disparities, etc.)?",What is your favorite number?,What is your birth day (e.g. October 28-report 28)?,What is your birth month (e.g. October 28-report 10)?,What is your home country?,What is your home state?,What is your home city?,What is your highest education level?
11,Ambivalent,Yes,a library,"""I find that the harder I work, the more luck I seem to have."" ",Thursday,Lark ( I am a morning person),pasta,sprite,Fall,September,sports,MPH only,Epidemiology/Biostatistics,R,4,4,>2 years,"new data analysis techniques, develop r skills, different types of linear models",racial health disparities,3,26,12,united states,pennsylvania,philadelphia,Master's degree
12,Ambivalent,Yes,my pocket knife,Walk it off,Sunday,Hummingbird (I am neither a lark nor an owl),sushi,water,Summer,June,boxing,MPH only,Epidemiology/Biostatistics,SPSS,1,1,9 months to 1 year,"improve data analysis, increase comfort in using R, coding",environmental health disparities,3,7,3,United States,Illinois,Chicago,Bachelor's degree
13,Yes,Yes,A book,,Friday,Lark ( I am a morning person),Pasta,Coffee,Spring,May,Reading,MPH only,Epidemiology/Biostatistics,R,3,4,>1 to 2 years,"R, Survival Analysis, ",Chronic Disease (Parkinson's Disease),7,10,6,USA,IL,Peru,Bachelor's degree
14,Yes,Yes,A multi tool,Everything in moderation,Saturday,Owl (I am a night person),Pretzels,Coffee,Winter,December,Piano,MPH only,Epidemiology/Biostatistics,SPSS,4,4,7-9 months,"Analysis, statistics, code",Mental health,5,18,11,United States,Florida,Tampa,Bachelor's degree
15,No,Yes,Fire starter,Lower your expectations,Thursday,Lark ( I am a morning person),sushi,coffee,Spring,October,climbing,MPH only,Epidemiology/Biostatistics,SAS,2,2,0-3 months,1) R proficiency 2) Data analytics 3) Basic data visualization ,social epi,3,8,6,U.S.,Florida,Fort Lauderdale,Bachelor's degree
16,No,No,fire starter,life is too important to be taken seriously,Saturday,Hummingbird (I am neither a lark nor an owl),fresh bread,ginger tea,Fall,October,gardening,MPH only,Global Health,R,4,3,>1 to 2 years,"how to select appropriate tests for complex data sets and research questions,  better data visualization, how to better export figures and tables from R ",overnutrition,8,3,5,United States,Missouri,Saint Louis,Bachelor's degree
17,No,Yes,another person who is insanely good at understanding how to survive on a desert island (and for companionship),do what you love and love what you do,Thursday,Lark ( I am a morning person),ahi tuna poke (in this moment... the answer could change at any time depending on my mood),water (the drink of life),Fall,May,running,MPH only,Epidemiology/Biostatistics,R,3,3,>1 to 2 years,"becoming more proficient with R, how to analyze data better (understanding statistical terms, etc.), becoming marketable for data analytics jobs post-May","reproductive health, LGBTQ/trans health, health disparities",11,13,6,United States,MO,Saint Louis,Bachelor's degree
18,No,Yes,,Live in the moment and to the fullest,Friday,Owl (I am a night person),Sushi,A Bloody Mary,Summer,August,Playing basketball,MPH only,Epidemiology/Biostatistics,SPSS,2,2,4-6 months,"R Studio, Application of Epidemiology & Biostats, Career Development Skills",Immigrant Health and Clinical Research,3,5,2,India,South Carolina,Nuzvid,Bachelor's degree
19,Ambivalent,Ambivalent,Book,"Cure, relieve, and comfort",Saturday,Owl (I am a night person),Fish,Lemonade,Spring,May,Listening music,MPH only,Epidemiology/Biostatistics,SAS,3,4,>1 to 2 years,"Survival analysis, coding, and longitudinal data analysis",Infectious disease and cancer,7,21,9,China,Anhui,Hefei,MD
20,Ambivalent,Yes,A boat,"Don't worry about the little things in life, be happy",Saturday,Owl (I am a night person),Taco,Moscato,Fall,February,Reading,MPH only,Epidemiology/Biostatistics,SPSS,3,2,4-6 months,How to apply the skills we learned in class in the real world. ,Infectious Diseases,3,25,2,United States,Missouri,St. Louis,Bachelor's degree
21,Yes,Yes,photo album,live simply and comfortably ,Friday,Owl (I am a night person),Mediterranean ,chai tea,Spring,March,learning new languages/cultures ,MPH only,Global Health,R,3,3,4-6 months,"more coding, data cleaning and management and data analysis,",maternal and child health ,0,18,3,kenya,Texas,Austin,Bachelor's degree
22,Yes,Yes,An airplane,"""You miss 100% of the shots you don't take""-Wayne Gretzey --Michael Scott",Sunday,Lark ( I am a morning person),Eggplant parm,Chardonnay,Winter,December,Running,MPH only,Epidemiology/Biostatistics,SAS,1,4,>1 to 2 years,"To master more languages, learn more about missing data, and to learn how to best use these skills practically. ",Emergency preparedness ,13,10,6,United States,"Washington, D.C.",Tenleytown,Bachelor's degree
23,Ambivalent,Ambivalent,Knife,Take each day one day at a time ,Friday,Owl (I am a night person),Fried plantains,apple juice,Spring,December,"cooking, reading, listening to music",MPH only,Epidemiology/Biostatistics,SPSS,3,3,9 months to 1 year,better statistical analysis skills,"cancer, breast cancer",9,18,12,Ghana,Missouri,St Louis,Bachelor's degree
24,Yes,Yes,filtered water bottle,#yolo,Friday,Owl (I am a night person),kimchi,h2o,Fall,November,listening to podcasts,MPH only,Health policy analysis,SPSS,1,1,0-3 months,1. how to manipulate data with minimum bias 2. how to conduct the correct analysis 3. how to interpret data correctly,health policy and health economics,1,2,12,S. Korea,n/a,Jakarta,Bachelor's degree
25,Ambivalent,Yes,Harry Potter Books,"Everything happens for a reason. Don't dwell on the past, instead appreciate the present. ",Friday,Owl (I am a night person),Buffalo chicken,Wine (non-alcoholic is Coke/Pepsi),Summer,June,Playing board games,MPH only,Epidemiology/Biostatistics,SPSS,3,4,>1 to 2 years,"1. Refine my R skills, I haven't been using it as much so I am forgetting some things. 2. Merging my ALM and Epi skills. 3. Increased critical thinking and problem-solving skills with data sets. ",vaccine preventable diseases,5,5,6,USA,Florida,Seminole,Bachelor's degree
26,Ambivalent,Yes,My favorite book,,Saturday,Lark ( I am a morning person),Pasta,Water,Spring,May,Baking ,MPH only,Epidemiology/Biostatistics,SPSS,1,1,0-3 months,,Chronic disease prevention through health behavior promotion,3,16,10,United States,Colorado,Denver,Master's degree
27,Ambivalent,No,Water filter,Prancing through life,Thursday,Lark ( I am a morning person),Sopes,Coffee,Fall,June,Doodling,MPH only,Global Health,R,2,3,7-9 months,"Data cleaning, Compound scores, Longitudinal analysis","Displaced communities, Emergency settings",12,9,10,Mexico,Guanajuato,Tarimoro,Bachelor's degree
28,Yes,Ambivalent,A friend,Listen deeply and trust the process.,Saturday,Lark ( I am a morning person),Grains & greens creations,Dark & stormy,Fall,June,Running,MSW/MPH,Epidemiology/Biostatistics,R,3,2,7-9 months,Approaches to working with messy data and typical administrative data to answer real-world (real-employer) questions; greater fluency in selecting and conducting common types of analyses; visualization strategies for public (non-academic) communication.,"Racial/ethnic, gender, SES disparities in health outcomes",17,2,9,United States,Massachusetts,Somerville,Bachelor's degree
29,No,Yes,fully charged top range satellite phone to communicate with rescuers,Failing upwards since 1991.,Thursday,Owl (I am a night person),fish & chips with vinegar ,gin & tonic with lime,Spring,July,bike riding,MPH only,the first two,SPSS,3,3,9 months to 1 year,"Best practices for data analysis, survival analysis,  and cox regression.",infectious disease ,3319,18,7,Malawi ,New York,New York City,Bachelor's degree
30,Yes,Ambivalent,Kindle,Rest is rust,Friday,Owl (I am a night person),Eggplant,Tea,Spring,January,Painting,MPH only,Epidemiology/Biostatistics,R,4,4,>1 to 2 years,"Coding skills, R package utilization, data management",Obesity,21,15,1,China,Jiangsu,Nanjing,Master's degree
31,Yes,Yes,Boat,Everything Happens For a Reason,Thursday,Owl (I am a night person),Penne Vodka,Unsweet tea,Spring,July,Reading,MPH only,Epidemiology/Biostatistics,SPSS,2,2,0-3 months,"How to use R, How to complete more advanced data analysis, How to choose correct analysis format for the data at hand","Infectious Diease, Nosocomial Infections",13,13,7,United States,Kentucky,Paducah,Bachelor's degree
32,No,Yes,my wits,"In order to make a change, sacrifices have to be made",Friday,Owl (I am a night person),Vegetable soup and pounded yam,water,Summer,November,working out,MPH only,Epidemiology/Biostatistics,SPSS,1,1,0-3 months,"coding, R and data analysis (lol), not sure really but open minded to learning this new course",disparities,5,12,11,Nigeria,Imo,Lagos,Bachelor's degree
33,Yes,Yes,,,Saturday,Owl (I am a night person),Chinese hot pot,coffee,Summer,August,Playing the piano,MPH only,Epidemiology/Biostatistics,Stata,1,5,>2 years,,mental health,9,25,1,China,Jilin,Changchun,Bachelor's degree
34,Yes,Yes,cell phone that has connected to wifi,young forever,Friday,Hummingbird (I am neither a lark nor an owl),shrimp,soy milk,Spring,March,sing,MPH only,Epidemiology/Biostatistics,SAS,3,5,>1 to 2 years,"R coding, advanced epi/biostats concepts, study design and data analyses","cancer, CVD, disparities ",9,9,3,China,Jiangsu,Xuzhou,Master's degree
35,Yes,Yes,headphone,dream big,Saturday,Lark ( I am a morning person),curry,bubble milk tea,Fall,April,playing violin,MPH only,Epidemiology/Biostatistics,SAS,3,3,>1 to 2 years,1.survival analysis; 2. learn more about R software; 3.connection between statistics and real life.,health policy,3,26,April,China,Zhejiang,Ningbo,Master's degree
36,Ambivalent,Yes,flare gun,It really be like that sometimes,Saturday,Owl (I am a night person),Bread,Coffee,Fall,November,Baking,MPH only,Epidemiology/Biostatistics,SPSS,3,2,0-3 months,,,3,31,5,United States,,,Bachelor's degree
37,Yes,Yes,Lamp with a genie in it,So far so good,Saturday,Owl (I am a night person),rice,milk,Summer,November,Video Game,MPH only,Epidemiology/Biostatistics,R,4,5,>2 years,"way of thinking, way of applying research into practice, other people's experience",Health behavior ,7,23,11,China,Henan,Zhoukou,Master's degree
38,No,Yes,Water,It takes a village to raise a child.,Friday,Hummingbird (I am neither a lark nor an owl),African dishes,water,Spring,December,Playing Tennis,MPH only,Generalist,R,3,3,4-6 months,I hope to acquire more skill in data analysis and comprehensive understanding of data management.,I am interested in chronic disease research and health care policy.,12,1,12,Nigeria,Imo,Lorji,Bachelor's degree
39,Ambivalent,Yes,unlimited clean water,"Hope for the best, but prepare for the worst ",Friday,Owl (I am a night person),chicken,fruit smoothies ,Spring,May,reading,MPH only,Epidemiology/Biostatistics,SPSS,3,1,9 months to 1 year,"How to control for variables when running a data set. Improve my ability to use ""R"". How and when  to ""clean"" a raw data set. ",mental health ,6,18,1,Nigeria ,Arizona,Litchfield Park ,Bachelor's degree
40,Ambivalent,Ambivalent,Books,"Cure, relieve, comfort",Friday,Owl (I am a night person),Meat,Lemonade,Summer,August,singing,MPH only,Epidemiology/Biostatistics,SAS,3,4,>1 to 2 years,"survival analysis, data visualization, poisson regression ",infectious disease (hospital acquired infections),7,21,9,China,Anhui,Hefei,M.D
41,Ambivalent,Yes,my phone,"""How could you do this to me. Question mark.""",Friday,Owl (I am a night person),apples,seltzer,Spring,July,cooking,MPH only,Epidemiology/Biostatistics,R,5,5,>2 years,how to connect the epi. theory with the statistical methods I've learned in a practical way,social welfare programs,0,19,7,United States,Missouri,Kansas City,Bachelor's degree
42,Yes,Yes,A hunting riffle for safety and food,"""Be optimistic. As long as you keep your head to the sky, you can win!""",Sunday,Owl (I am a night person),Pasta,Strawberry Shake,Fall,January,Singing,MPH only,Epidemiology/Biostatistics,SPSS,1,1,0-3 months,"How to use R, How to code, and how to improve my data skills",Disparities,12,12,1,United States,Missouri,Saint Louis,Bachelor's degree
43,No,Yes,My iphone to play music,"""For every Goliath, there's a stone.""",Sunday,Lark ( I am a morning person),Indian food,Orange and Mango juice,Summer,June,Running,MPH only,Epidemiology/Biostatistics,R,4,4,>1 to 2 years,Get better at sharing code and improve my coding skills,"smoking, obesity and physical activity, chronic diseases",90,7-Jun,June 7-91,Uganda,NA,Kampala,Master's degree
